item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,product_description,current_status,kewords,topic_group,topic_desc
90420332,FREKVENS,Bar furniture,265,No old price,TRUE,https://www.ikea.com/sa/en/p/frekvens-bar-table-in-outdoor-black-90420332/,No,"        Bar table, in/outdoor,          51x51 cm",Nicholai Wiig Hansen,,99,51,Item discontinued,Item discontinued,,,
80155205,STIG,Bar furniture,69,No old price,TRUE,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"        Bar stool with backrest,          74 cm",Henrik Preutz,50,100,60,Item discontinued,Item discontinued,,,
50420329,FREKVENS,Bar furniture,177,SR 295,TRUE,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"        Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,53,104,43,Item discontinued,Item discontinued,,,
400550,EKEDALEN,Bar furniture,345,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"        Bar stool with backrest,          75 cm",Ehlén Johansson,52,114,43,Item discontinued,Item discontinued,,,
40426138,HENRIKSDAL,Bar furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,No,"        Bar stool with backrest frame,          74 cm",Karl Malmvall,51,102,40,Item discontinued,Item discontinued,,,
50363649,KULLABERG,Bar furniture,140,SR 175,TRUE,https://www.ikea.com/sa/en/p/kullaberg-stool-black-50363649/,Yes,        Stool,Sarah Fager,36,,36,Item discontinued,Item discontinued,,,
10281354,JANINGE,Bar furniture,595,No old price,TRUE,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36,84,38,Item discontinued,Item discontinued,,,
40400529,EKEDALEN,Bar furniture,796,SR 995,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-table-brown-40400529/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105,80,Item discontinued,Item discontinued,,,
90319918,HENRIKSDAL,Bar furniture,695,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-glose-black-90319918/,No,"        Bar stool with backrest,          74 cm",Karl Malmvall,51,102,40,Item discontinued,Item discontinued,,,
40339004,NORRÅKER,Bar furniture,595,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-bar-table-black-40339004/,Yes,"        Bar table,          74x74 cm",J Karlsson/N Karlsson,,102,74,Item discontinued,Item discontinued,,,
39184324,HENRIKSDAL,Bar furniture,435,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-graesbo-white-s39184324/,No,"        Bar stool with backrest,          74 cm",IKEA of Sweden/Karl Malmvall,51,102,40,Item discontinued,Item discontinued,,,
19297275,NORRÅKER / NORRÅKER,Bar furniture,1266,"SR 1,385",TRUE,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,,Item discontinued,Item discontinued,,,
20336619,HENRIKSDAL,Bar furniture,40,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-cover-for-bar-stool-with-backrest-graesbo-white-20336619/,No,        Cover for bar stool with backrest,IKEA of Sweden,,,,Item discontinued,Item discontinued,,,
20429010,NORRÅKER,Bar furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-bar-stool-with-backrest-birch-20429010/,Yes,"        Bar stool with backrest,          74 cm",J Karlsson/N Karlsson,48,100,42,Item discontinued,Item discontinued,,,
89280380,NORRÅKER / NORRARYD,Bar furniture,1385,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-black-black-s89280380/,No,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,,104,74,Item discontinued,Item discontinued,,,
49304217,EKEDALEN / EKEDALEN,Bar furniture,2176,"SR 2,375",TRUE,https://www.ikea.com/sa/en/p/ekedalen-ekedalen-bar-table-and-4-bar-stools-brown-orrsta-light-grey-s49304217/,No,"        Bar table and 4 bar stools,          120 cm",Ehlén Johansson,,,,Item discontinued,Item discontinued,,,
272656,BERNHARD,Bar furniture,745,No old price,TRUE,https://www.ikea.com/sa/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-kavat-white-00272656/,No,"        Bar stool with backrest,          66 cm",Ola Wihlborg,50,90,48,Item discontinued,Item discontinued,,,
79241940,NORRÅKER / NORRÅKER,Bar furniture,1385,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-black-black-s79241940/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,104,74,Item discontinued,Item discontinued,,,
89297272,NORRÅKER / NORRARYD,Bar furniture,1266,"SR 1,385",TRUE,https://www.ikea.com/sa/en/p/norraker-norraryd-bar-table-and-2-bar-stools-birch-black-s89297272/,No,"        Bar table and 2 bar stools,          74 cm",Nike Karlsson/J Karlsson/N Karlsson,,,,Item discontinued,Item discontinued,,,
49297274,NORRÅKER / NORRÅKER,Bar furniture,1266,"SR 1,385",TRUE,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-black-s49297274/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,,,Item discontinued,Item discontinued,,,
30308395,RÅSKOG,Bar furniture,175,No old price,TRUE,https://www.ikea.com/sa/en/p/raskog-bar-stool-beige-30308395/,No,"        Bar stool,          63 cm",Nike Karlsson,44,63,44,Item discontinued,Item discontinued,,,
50468953,VATTVIKEN,Beds,995,No old price,TRUE,https://www.ikea.com/sa/en/p/vattviken-armchair-bed-lerhaga-light-grey-50468953/,No,        Armchair-bed,"504.689.53 Small and easy-to-place chair-bed which can easily be converted into a single bed.The storage space under the seat has room for bedlinen or other things.Just as nice to look at from all sides – perfect to place in the middle of the room or use as a room divider.The cushion cover is easy to keep clean and fresh, as you can take it off and machine-wash it.Easy to assemble.1 cushion included.",83,86,92,Item discontinued,Item discontinued,,,
69912770,TRYSIL,Beds,525,No old price,TRUE,https://www.ikea.com/sa/en/p/trysil-bed-frame-white-light-grey-s69912770/,Yes,"        Bed frame,          160x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,,,165,Item discontinued,Item discontinued,,,
39122072,LAUVIK,Beds,1729,"SR 2,435",TRUE,https://www.ikea.com/sa/en/p/lauvik-divan-bed-hamarvik-firm-firm-dark-beige-s39122072/,Yes,"        Divan bed,          140x200 cm",IKEA of Sweden/Synnöve Mork/Ola Wihlborg,,120,140,Item discontinued,Item discontinued,,,
90331091,RIDABU,Beds,100,SR 125,TRUE,https://www.ikea.com/sa/en/p/ridabu-mirror-door-white-90331091/,No,"        Mirror door,          40x120 cm","903.310.91 The door can be hung with the opening to the right or the left.To be completed with 3 HJÄLPA hinges, sold separately.Fits with PLATSA wardrobe system.Knobs and handles are sold separately.",,120,40,Item discontinued,Item discontinued,,,
89305446,PLATSA,Beds,2600.5,"SR 2,880",TRUE,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-doors-white-s89305446/,No,"        Bed frame with 10 doors,          143x244x223 cm",IKEA of Sweden,40,43,143,Item discontinued,Item discontinued,,,
80017389,SANDVIKA,Beds,295,No old price,TRUE,https://www.ikea.com/sa/en/p/sandvika-guest-bed-80017389/,No,"        Guest bed,          80x190 cm",IKEA of Sweden,,34,80,Item discontinued,Item discontinued,,,
69323757,MINNEN,Beds,395,No old price,TRUE,https://www.ikea.com/sa/en/p/minnen-ext-bed-frame-with-slatted-bed-base-turquoise-s69323757/,No,"        Ext bed frame with slatted bed base,          80x200 cm",IKEA of Sweden/Tina Christensen,,,85,Item discontinued,Item discontinued,,,
79247598,BJÖRKSNÄS,Beds,2040,No old price,TRUE,https://www.ikea.com/sa/en/p/bjoerksnaes-bed-frame-birch-leirsund-s79247598/,Yes,"        Bed frame,          140x200 cm",K Hagberg/M Hagberg/IKEA of Sweden,,42,160,Item discontinued,Item discontinued,,,
